match_no,round,team_a,team_a_name,team_b,team_b_name,winner
1,R16,1265,NUST Robotics & A.I.,,,1265
2,R16,1173,Janooni Garrisonians 2.0,1261,Hypertracer,
3,R16,966,Bayrakthar AF2,1155,System breakers,
4,R16,1081,Team Quantum,1169,Code kra do,
5,R16,1076,Mike Oxman,950,ANUwUBIS EME,
6,R16,1287,SS battalion,1158,LineX,
7,R16,1033,Team AK,1262,Electrobots,
8,R16,1170,Bado Badi,1165,Andy wala burger,
9,QF,1265,NUST Robotics & A.I.,,,
10,QF,,,,,
11,QF,,,,,
12,QF,,,,,
13,SF,,,,,
14,SF,,,,,
15,Final,,,,,
